venue,title,event_type,date,hall,description,url,price
Concertgebouw,Concertgebouworkest Essentials: Beethovens 'Keizersconcert',Essentials,"vr 24 apr 2026, 21:00 - 22:15",Grote Zaal,,https://www.concertgebouw.nl/concerten/11110456-concertgebouworkest-essentials-beethovens-keizersconcert,"v.a. EUR 20,00"
Concertgebouw,Jörg Widmann dirigeert Beethoven en zichzelf,Luisteren,"za 25 apr 2026, 14:15 - 16:20",Grote Zaal,"Beethoven Symfonie nr. 7 in A, op. 92 Korngold Symphonic Serenade in Bes, op. 39",https://www.concertgebouw.nl/concerten/8923975-jorg-widmann-dirigeert-beethoven-en-zichzelf,"v.a. EUR 45,00"
Concertgebouw,Harriet Krijgh en leden van Amsterdam Sinfonietta in Schuberts Strijkkwintet,Concert,"za 25 apr 2026, 20:15 - 22:20",Kleine Zaal,"Schubert Strijkkwintet in C, D 956, op. posth. 163 Brahms Strijksextet nr. 1 in Bes, op. 18",https://www.concertgebouw.nl/concerten/8503496-harriet-krijgh-en-leden-van-amsterdam-sinfonietta-in-schuberts-strijkkwintet,"v.a. EUR 29,00 [Laatste kaarten]"
Concertgebouw,Elgars Enigma-variaties en Maria Milstein speelt West Side Story,Luisteren,"zo 26 apr 2026, 11:00 - 12:00",Grote Zaal,"Elgar Enigma-variaties, op. 36 Bernstein West Side Story Suite (arr. P. Bateman)",https://www.concertgebouw.nl/concerten/7557176-elgars-enigma-variaties-en-maria-milstein-speelt-west-side-story,"v.a. EUR 21,00"
Concertgebouw,A New Perspective on Miles – Brussels Jazz Orchestra ft. Ambrose Akinmusire,Concert,"di 28 apr 2026, 20:15 - 21:45",Grote Zaal,,https://www.concertgebouw.nl/concerten/32424247-a-new-perspective-on-miles---brussels-jazz-orchestra-ft.-ambrose-akinmusire,"v.a. EUR 29,00"
Concertgebouw,Gratis Lunchconcert: Codarts kamermuziek,Gratis Lunchconcert,"wo 29 apr 2026, 12:30 - 13:00",Kleine Zaal,,https://www.concertgebouw.nl/concerten/36977908-gratis-lunchconcert-codarts-kamermuziek,Gratis
Concertgebouw,40 JAAR DRIES,Concert,"do 30 apr 2026, 20:15 - 22:45",Grote Zaal,,https://www.concertgebouw.nl/concerten/43209089-40-jaar-dries,"v.a. EUR 47,00 [UITVERKOCHT]"
Concertgebouw,Gratis lunchconcert voor kinderen: Jonge Strijkers (6+),Gratis Lunchconcert,"vr 1 mei 2026, 12:30 - 13:00",Kleine Zaal,,https://www.concertgebouw.nl/concerten/36977909-gratis-lunchconcert-voor-kinderen-jonge-strijkers-6,Gratis
Concertgebouw,Raphaël Pichon leidt Rameau en Gluck bij het Concertgebouworkest,Concert,"vr 1 mei 2026, 20:15 - 21:45",Grote Zaal,Rameau delen Rameau Entrée très gaye de Troubadours,https://www.concertgebouw.nl/concerten/11152423-raphael-pichon-leidt-rameau-en-gluck-bij-het-concertgebouworkest,"v.a. EUR 20,00"
Concertgebouw,Mozarts pianosonates op een Stein fortepiano uit 1783,Concert,"vr 1 mei 2026, 20:15 - 22:35",Kleine Zaal,"Mozart Sonate in c, KV 457 Mozart Fantasie in c, KV 475",https://www.concertgebouw.nl/concerten/12645062-mozarts-pianosonates-op-een-stein-fortepiano-uit-1783,"v.a. EUR 24,00"
Concertgebouw,Herreweghe dirigeert Mendelssohn en Schumann bij het Antwerp Symphony Orchestra,Concert,"za 2 mei 2026, 20:15 - 22:35",Grote Zaal,"Schumann Symfonie nr. 3 in Es, op. 97 'Rheinische' Mendelssohn Pianoconcert nr. 1 in g, op. 25",https://www.concertgebouw.nl/concerten/8110225-herreweghe-dirigeert-mendelssohn-en-schumann-bij-het-antwerp-symphony-orchestra,"v.a. EUR 19,00"
Concertgebouw,Trio Milstein Tavenier Viersen speelt Schubert en Mozart,Concert,"zo 3 mei 2026, 11:00 - 12:00",Kleine Zaal,"Mozart Trio in Es, KV 563 'Ein Divertimento... di sei pezzi' Strijktrio in Bes, D 471",https://www.concertgebouw.nl/concerten/7557177-trio-milstein-tavenier-viersen-speelt-schubert-en-mozart,"v.a. EUR 25,00"
Concertgebouw,Raphaël Pichon leidt Rameau en Gluck bij het Concertgebouworkest,Concert,"zo 3 mei 2026, 14:15 - 15:45",Grote Zaal,Rameau delen Rameau Entrée très gaye de Troubadours,https://www.concertgebouw.nl/concerten/11154511-raphael-pichon-leidt-rameau-en-gluck-bij-het-concertgebouworkest,"v.a. EUR 20,00"
Concertgebouw,"Het Middagconcert: Música Temprana met Bailes, Tonadas & Cachuas",Concert,"zo 3 mei 2026, 16:00 - 17:30",Kleine Zaal,anoniem El Moro anoniem El gallinasito,https://www.concertgebouw.nl/concerten/8505071-het-middagconcert-musica-temprana-met-bailes-tonadas-cachuas,"v.a. EUR 29,00"
Concertgebouw,Het Herdenkingsconcert met Tim Knol,Concert,"ma 4 mei 2026, 19:00 - 20:30",Kleine Zaal,,https://www.concertgebouw.nl/concerten/44438332-het-herdenkingsconcert-met-tim-knol,"v.a. EUR 21,00"
Concertgebouw,Gratis Lunchconcert: YCAT/Nathan Amaral,Gratis Lunchconcert,"wo 6 mei 2026, 12:30 - 13:00",Kleine Zaal,,https://www.concertgebouw.nl/concerten/36977910-gratis-lunchconcert-ycat-nathan-amaral,Gratis
Concertgebouw,Lucas en Arthur Jussen spelen Bach en Mozart,Concert,"wo 6 mei 2026, 20:15 - 22:35",Grote Zaal,"Haydn Symfonie nr. 45 'Abschied' J.S. Bach Concert in C, BWV 1061",https://www.concertgebouw.nl/concerten/7804308-lucas-en-arthur-jussen-spelen-bach-en-mozart,"v.a. EUR 25,00 [Laatste kaarten]"
Concertgebouw,Consone Quartet in Schuberts 'Rosamunde' en Mozarts 'Dissonanten',Concert,"wo 6 mei 2026, 20:15 - 22:20",Kleine Zaal,"Schubert Strijkkwartet in a, D 804 'Rosamunde' Leith On a horse, on a hill, faraway, through fog and bonfire (In opdracht van Borletti-Buitoni Trust, Spitalfields Festival, New Commission Fund)",https://www.concertgebouw.nl/concerten/8503497-consone-quartet-in-schuberts-rosamunde-en-mozarts-dissonanten,"v.a. EUR 29,00"
Concertgebouw,Augustin Hadelich speelt Tsjaikovski’s Vioolconcert met het Concertgebouworkest,Luisteren,"do 7 mei 2026, 20:15 - 22:15",Grote Zaal,"Brahms Symfonie nr. 4 in e, op. 98 Tsjaikovski Vioolconcert in D, op. 35",https://www.concertgebouw.nl/concerten/11154811-augustin-hadelich-speelt-tsjaikovskis-vioolconcert-met-het-concertgebouworkest,"v.a. EUR 29,00"
Concertgebouw,"Schuberts Forellenkwintet door Simply Quartet, Piirto en Wagner",Luisteren,"do 7 mei 2026, 20:15 - 22:35",Kleine Zaal,"Schubert Kwintet in A, D 667 'Die Forelle' Schubert Sonate in a, D 821 'Arpeggione'",https://www.concertgebouw.nl/concerten/8503498-schuberts-forellenkwintet-door-simply-quartet-piirto-en-wagner,"v.a. EUR 29,00"
Concertgebouw,Jonge Nederlanders: pianist Shane van Neerden,Concert,"vr 8 mei 2026, 20:15 - 22:35",Kleine Zaal,"Barber Sonate in es, op. 26 Ives Three Page Sonata",https://www.concertgebouw.nl/concerten/8507468-jonge-nederlanders-pianist-shane-van-neerden,"v.a. EUR 19,00"
Concertgebouw,Concertgebouworkest Essentials: Brahms' Symfonie nr. 4,Essentials,"vr 8 mei 2026, 21:00 - 22:10",Grote Zaal,,https://www.concertgebouw.nl/concerten/11154812-concertgebouworkest-essentials-brahms-symfonie-nr.-4,"v.a. EUR 20,00"
Concertgebouw,In hogere sferen met Ligeti en Langgaard,Luisteren,"za 9 mei 2026, 14:15 - 16:25",Grote Zaal,"Langgaard Sfærernes Musik (Muziek der sferen), BVN 128 Ligeti Lux aeterna",https://www.concertgebouw.nl/concerten/8923976-in-hogere-sferen-met-ligeti-en-langgaard,"v.a. EUR 45,00"
Concertgebouw,Mahler en Strauss met het Nederlands Philharmonisch,Luisteren,"za 9 mei 2026, 20:15 - 22:35",Grote Zaal,"Mahler Adagio - Andante - Adagio R. Strauss Don Juan, op. 20",https://www.concertgebouw.nl/concerten/9133504-mahler-en-strauss-met-het-nederlands-philharmonisch,"v.a. EUR 35,00"
Concertgebouw,Familieconcert op Moederdag: Moeder de Gans (6+),Familieconcert,"zo 10 mei 2026, 11:00 - 12:00",Grote Zaal,,https://www.concertgebouw.nl/concerten/7557178-familieconcert-op-moederdag-moeder-de-gans-6,"v.a. EUR 25,00"
Concertgebouw,Augustin Hadelich speelt Tsjaikovski’s Vioolconcert met het Concertgebouworkest,Luisteren,"zo 10 mei 2026, 14:15 - 16:15",Grote Zaal,"Brahms Symfonie nr. 4 in e, op. 98 Tsjaikovski Vioolconcert in D, op. 35",https://www.concertgebouw.nl/concerten/11154813-augustin-hadelich-speelt-tsjaikovskis-vioolconcert-met-het-concertgebouworkest,"v.a. EUR 29,00"
Concertgebouw,Grote Pianisten: Alexander Malofeev speelt Rachmaninoff en Grieg,Concert,"zo 10 mei 2026, 20:15 - 22:35",Grote Zaal,"Rachmaninoff Sonate nr. 2 in bes, op. 36 Lourié Cinq préludes fragiles, op. 1",https://www.concertgebouw.nl/concerten/7604262-grote-pianisten-alexander-malofeev-speelt-rachmaninoff-en-grieg,"v.a. EUR 19,00"
Concertgebouw,Mahler en Strauss met het Nederlands Philharmonisch,Luisteren,"ma 11 mei 2026, 20:15 - 22:35",Grote Zaal,"Mahler Adagio - Andante - Adagio R. Strauss Don Juan, op. 20",https://www.concertgebouw.nl/concerten/9336094-mahler-en-strauss-met-het-nederlands-philharmonisch,"v.a. EUR 35,00"
Concertgebouw,Busch Trio met Schubert en Ives,Concert,"ma 11 mei 2026, 20:15 - 22:20",Kleine Zaal,"Schubert Pianotrio in Es, D 929, op. 100 Ives Pianotrio, S 86",https://www.concertgebouw.nl/concerten/8503293-busch-trio-met-schubert-en-ives,"v.a. EUR 25,00"
Concertgebouw,Janine Jansen & Camerata Salzburg: Vivaldi's De vier jaargetijden,Concert,"di 12 mei 2026, 20:15 - 22:35",Grote Zaal,"Vivaldi De vier jaargetijden, op. 8 Rota Concerto per archi",https://www.concertgebouw.nl/concerten/7605199-janine-jansen-camerata-salzburg-vivaldis-de-vier-jaargetijden,"v.a. EUR 25,00 [Laatste kaarten]"
Concertgebouw,Vriendenrepetitie: Concertgebouworkest en cellist Sol Gabetta spelen Martinů,Concert,"wo 13 mei 2026, 09:30 - 13:00",Grote Zaal,"Ravel Daphnis et Chloé, suite nr. 2 Stravinsky Jeu de cartes, ballet en trois donnes",https://www.concertgebouw.nl/concerten/11158052-vriendenrepetitie-concertgebouworkest-en-cellist-sol-gabetta-spelen-martinu,"v.a. EUR 17,50"
Concertgebouw,Gratis Lunchconcert: World Harp Competition,Gratis Lunchconcert,"wo 13 mei 2026, 12:30 - 13:00",Kleine Zaal,,https://www.concertgebouw.nl/concerten/36977911-gratis-lunchconcert-world-harp-competition,Gratis
Concertgebouw,Concertgebouworkest en cellist Sol Gabetta spelen Martinů,Concert,"wo 13 mei 2026, 20:15 - 22:15",Grote Zaal,"Ravel Daphnis et Chloé, suite nr. 2 Stravinsky Jeu de cartes, ballet en trois donnes",https://www.concertgebouw.nl/concerten/11154814-concertgebouworkest-en-cellist-sol-gabetta-spelen-martinu,"v.a. EUR 20,00"
Concertgebouw,Busch Trio met Schubert en Ives,Concert,"wo 13 mei 2026, 20:15 - 22:20",Kleine Zaal,"Schubert Pianotrio in Es, D 929, op. 100 Ives Pianotrio, S 86",https://www.concertgebouw.nl/concerten/8503294-busch-trio-met-schubert-en-ives,"v.a. EUR 25,00"
Concertgebouw,"Aretha Franklin: Queen of Soul - Metropole Orkest & Sheléa, conducted by Jules Buckley",Concert,"do 14 mei 2026, 20:15 - 21:45",Grote Zaal,,https://www.concertgebouw.nl/concerten/16108614-aretha-franklin-queen-of-soul---metropole-orkest-shelea-conducted-by-jules-buckley,"v.a. EUR 35,00"
Concertgebouw,Concertgebouworkest en cellist Sol Gabetta spelen Martinů,Concert,"vr 15 mei 2026, 20:15 - 22:15",Grote Zaal,"Ravel Daphnis et Chloé, suite nr. 2 Stravinsky Jeu de cartes, ballet en trois donnes",https://www.concertgebouw.nl/concerten/11156974-concertgebouworkest-en-cellist-sol-gabetta-spelen-martinu,"v.a. EUR 20,00"
Concertgebouw,Greenwood x Strootman: solo gitaar en solo viool,Concert,"za 16 mei 2026, 14:15 - 16:20",Grote Zaal,Greenwood Vioolconcert ‘æþm’ (naar Horror vacui) Reich Electric Counterpoint,https://www.concertgebouw.nl/concerten/8924598-greenwood-x-strootman-solo-gitaar-en-solo-viool,"v.a. EUR 45,00"
Concertgebouw,Falla en Rodrigo door Nederlands Kamerorkest,Luisteren,"za 16 mei 2026, 20:15 - 22:15",Grote Zaal,Boccherini La musica notturna delle strade di Madrid Falla El amor brujo,https://www.concertgebouw.nl/concerten/9336095-falla-en-rodrigo-door-nederlands-kamerorkest,"v.a. EUR 35,00"
Concertgebouw,Vivaldi’s De vier jaargetijden door Amsterdam Sinfonietta,Concert,"zo 17 mei 2026, 11:00 - 12:00",Grote Zaal,"Vivaldi De vier jaargetijden, op. 8 J.S. Bach Brandenburgs concert nr. 3 in G, BWV 1048",https://www.concertgebouw.nl/concerten/7557179-vivaldis-de-vier-jaargetijden-door-amsterdam-sinfonietta,"v.a. EUR 21,00"
Concertgebouw,Authentieke uitvoering van Mozarts Requiem,Luisteren,"zo 17 mei 2026, 14:15 - 16:15",Grote Zaal,"Mozart Requiem in d, KV 626 Mozart Allegro aperto",https://www.concertgebouw.nl/concerten/14281544-authentieke-uitvoering-van-mozarts-requiem,"v.a. EUR 37,50"
Concertgebouw,Anoushka Shankar presents «Chapters» with the London Contemporary Orchestra,Concert,"ma 18 mei 2026, 20:15 - 21:30",Grote Zaal,,https://www.concertgebouw.nl/concerten/43786493-anoushka-shankar-presents-with-the-london-contemporary-orchestra,"v.a. EUR 29,00"
Concertgebouw,Piano Nights: De mooiste pianomuziek met Wibi Soerjadi en Lestari Scholtes,Concert,"di 19 mei 2026, 20:15 - 21:45",Grote Zaal,,https://www.concertgebouw.nl/concerten/8110226-piano-nights-de-mooiste-pianomuziek-met-wibi-soerjadi-en-lestari-scholtes,"v.a. EUR 19,00"
Concertgebouw,Katharina Konradi & Catriona Morison: van Schumann tot Chausson,Concert,"di 19 mei 2026, 20:15 - 22:35",Kleine Zaal,"Fauré Tarentelle Bonis Le Ruisseau, op. 21",https://www.concertgebouw.nl/concerten/8505072-katharina-konradi-catriona-morison-van-schumann-tot-chausson,"v.a. EUR 35,00"
Concertgebouw,Gratis Lunchconcert: Academie Budapest Festival Orchestra,Gratis Lunchconcert,"wo 20 mei 2026, 12:30 - 13:00",Kleine Zaal,,https://www.concertgebouw.nl/concerten/36977912-gratis-lunchconcert-academie-budapest-festival-orchestra,Gratis
Concertgebouw,Iván Fischer dirigeert Wagner bij het Budapest Festival Orchestra,Festival,"wo 20 mei 2026, 20:15 - 22:35",Grote Zaal,"Wagner Derde akte, derde scène Schumann Symfonie nr. 3 in Es, op. 97 'Rheinische'",https://www.concertgebouw.nl/concerten/7605200-ivan-fischer-dirigeert-wagner-bij-het-budapest-festival-orchestra,"v.a. EUR 29,00"
Concertgebouw,Vivaldi's Vier jaargetijden,Concert,"do 21 mei 2026, 19:30 - 21:30",Grote Zaal,"Vivaldi aria's Vivaldi De vier jaargetijden, op. 8",https://www.concertgebouw.nl/concerten/14281545-vivaldis-vier-jaargetijden,"v.a. EUR 37,50"
Concertgebouw,Mozarts klassieker die u zeker kent: Eine kleine Nachtmusik,Luisteren,"vr 22 mei 2026, 19:30 - 21:30",Grote Zaal,"Mozart Requiem in d, KV 626 Mozart Allegro aperto",https://www.concertgebouw.nl/concerten/13173399-mozarts-klassieker-die-u-zeker-kent-eine-kleine-nachtmusik,"v.a. EUR 37,50"
Concertgebouw,Anna Fedorova & Friends: Carnival of Sounds!,Concert,"vr 22 mei 2026, 20:15 - 22:45",Kleine Zaal,Hagen Naturträne Fedorov Hymne a la joie de vivre,https://www.concertgebouw.nl/concerten/43353321-anna-fedorova-friends-carnival-of-sounds,"v.a. EUR 39,50"
Concertgebouw,Euregio Jeugdorkest presenteert: ASTRA NOVA,Concert,"za 23 mei 2026, 14:15 - 16:35",Grote Zaal,"Korngold Suite Rachmaninoff Caprice bohémien, op. 12",https://www.concertgebouw.nl/concerten/36485016-euregio-jeugdorkest-presenteert-astra-nova,"v.a. EUR 26,00"
Concertgebouw,Vivaldi's Vier jaargetijden,Concert,"za 23 mei 2026, 19:30 - 21:30",Grote Zaal,"Vivaldi aria's Vivaldi De vier jaargetijden, op. 8",https://www.concertgebouw.nl/concerten/14281546-vivaldis-vier-jaargetijden,"v.a. EUR 37,50"
Concertgebouw,Quatuor Danel & Quatuor Arod in het Octet van Enescu,Concert,"za 23 mei 2026, 20:15 - 22:35",Kleine Zaal,"Enescu Octet in C, op. 7 Brahms Strijksextet nr. 2 in G, op. 36",https://www.concertgebouw.nl/concerten/8505073-quatuor-danel-quatuor-arod-in-het-octet-van-enescu,"v.a. EUR 29,00"
Concertgebouw,Dromen van Shakespeare: Mendelssohns A Midsummer Night’s Dream,Concert,"zo 24 mei 2026, 11:00 - 12:00",Grote Zaal,,https://www.concertgebouw.nl/concerten/7557180-dromen-van-shakespeare-mendelssohns-a-midsummer-nights-dream,"v.a. EUR 21,00"
Concertgebouw,Emmylou Harris - European Farewell Tour,Concert,"zo 24 mei 2026, 19:30 - 22:00",Grote Zaal,,https://www.concertgebouw.nl/concerten/38042352-emmylou-harris---european-farewell-tour,"v.a. EUR 59,00 [UITVERKOCHT]"
Concertgebouw,Antwerp Philharmonic Orchestra speelt The Focus Symphony,Concert,"ma 25 mei 2026, 19:00 - 21:20",Grote Zaal,,https://www.concertgebouw.nl/concerten/32631996-antwerp-philharmonic-orchestra-speelt-the-focus-symphony,"v.a. EUR 52,50"
Concertgebouw,Zing-Cirkel Concertgebouw,Concert,"di 26 mei 2026, 10:00 - 12:00",,,https://www.concertgebouw.nl/concerten/14577652-zing-cirkel-concertgebouw,"v.a. EUR 20,00"
Concertgebouw,Zing-Cirkel Concertgebouw,Concert,"di 26 mei 2026, 13:00 - 15:00",,,https://www.concertgebouw.nl/concerten/14577653-zing-cirkel-concertgebouw,"v.a. EUR 20,00"
Concertgebouw,Aanstormend talent Antoine Préat debuteert in Het Concertgebouw,Concert,"di 26 mei 2026, 20:15 - 22:35",Kleine Zaal,"Prokofjev Delen uit 'Romeo en Julia', op.  75 Schumann Arabeske in C, op. 18",https://www.concertgebouw.nl/concerten/19026833-aanstormend-talent-antoine-preat-debuteert-in-het-concertgebouw,"v.a. EUR 25,50"
Concertgebouw,Gratis Lunchconcert: Orgelconcert Laurens de Man,Gratis Lunchconcert,"wo 27 mei 2026, 12:30 - 13:00",Grote Zaal,,https://www.concertgebouw.nl/concerten/36977913-gratis-lunchconcert-orgelconcert-laurens-de-man,Gratis
Concertgebouw,Maxim Emelyanychev: Beethovens Symfonie nr. 7 en Mozart,Luisteren,"wo 27 mei 2026, 20:15 - 22:15",Grote Zaal,"Beethoven Symfonie nr. 7 in A, op. 92 Mozart Pianoconcert nr. 25 in C, KV 503",https://www.concertgebouw.nl/concerten/7803913-maxim-emelyanychev-beethovens-symfonie-nr.-7-en-mozart,"v.a. EUR 35,00"
Concertgebouw,Rising Stars: Trio Concept,Concert,"wo 27 mei 2026, 20:15 - 21:45",Kleine Zaal,"Ravel Pianotrio in a Thomas Save Pepe (In opdracht van Festspielhaus Baden-Baden, Palau de la Música Catalana, ECHO)",https://www.concertgebouw.nl/concerten/8505074-rising-stars-trio-concept,"v.a. EUR 19,00"
Concertgebouw,The Story: Stravinsky in Parijs met Francis van Broekhuizen,Concert,"do 28 mei 2026, 20:15 - 22:35",Grote Zaal,,https://www.concertgebouw.nl/concerten/8110227-the-story-stravinsky-in-parijs-met-francis-van-broekhuizen,"v.a. EUR 25,00"
Concertgebouw,Trafassi Jubileumconcert,Concert,"do 28 mei 2026, 20:15 - 21:45",Kleine Zaal,,https://www.concertgebouw.nl/concerten/45141656-trafassi-jubileumconcert,"v.a. EUR 25,00"
Concertgebouw,Danish String Quartet speelt Ravel en Stravinsky,Luisteren,"vr 29 mei 2026, 20:15 - 22:05",Kleine Zaal,Ravel Strijkkwartet in F Stravinsky Suite Italienne (arr. R. Tonsgaard Sørensen),https://www.concertgebouw.nl/concerten/8110492-danish-string-quartet-speelt-ravel-en-stravinsky,"v.a. EUR 35,00"
Concertgebouw,Lahav Shani en Mahler 4,Concert,"za 30 mei 2026, 14:15 - 16:15",Grote Zaal,Mahler Symfonie nr. 4 in G Zedginidze nieuw werk (mede mogelijk gemaakt door de Vrienden van de Matinee),https://www.concertgebouw.nl/concerten/8924599-lahav-shani-en-mahler-4,"v.a. EUR 45,00"
Concertgebouw,Lorenzo Viotti dirigeert Rachmaninoffs Symfonische dansen,Luisteren,"za 30 mei 2026, 20:15 - 22:35",Grote Zaal,"Rachmaninoff Symfonische dansen, op. 45 Sjostakovitsj Vioolconcert nr. 2, op. 129",https://www.concertgebouw.nl/concerten/9336096-lorenzo-viotti-dirigeert-rachmaninoffs-symfonische-dansen,"v.a. EUR 35,00"
Concertgebouw,Danish String Quartet speelt Ravel en Stravinsky,Luisteren,"za 30 mei 2026, 20:15 - 22:05",Kleine Zaal,Ravel Strijkkwartet in F Stravinsky Suite Italienne (arr. R. Tonsgaard Sørensen),https://www.concertgebouw.nl/concerten/8110493-danish-string-quartet-speelt-ravel-en-stravinsky,"v.a. EUR 35,00"
Concertgebouw,Spaanse vioolochtend met Leticia Moreno,Concert,"zo 31 mei 2026, 11:00 - 12:00",Grote Zaal,"Falla Suite 'El amor brujo' Sarasate Carmen-fantasie, op. 25",https://www.concertgebouw.nl/concerten/7557181-spaanse-vioolochtend-met-leticia-moreno,"v.a. EUR 21,00"
Concertgebouw,Lorenzo Viotti dirigeert Rachmaninoffs Symfonische dansen,Luisteren,"zo 31 mei 2026, 14:15 - 16:35",Grote Zaal,"Rachmaninoff Symfonische dansen, op. 45 Sjostakovitsj Vioolconcert nr. 2, op. 129",https://www.concertgebouw.nl/concerten/9336097-lorenzo-viotti-dirigeert-rachmaninoffs-symfonische-dansen,"v.a. EUR 35,00"
Concertgebouw,Sopraan Kristen Witmer zingt wonderschone Bach en Montéclair,Concert,"zo 31 mei 2026, 20:15 - 22:35",Kleine Zaal,"M.P. Montéclair Cantate 'La mort de Didon' J.M. Leclair Première récréation de musique in D, op. 6",https://www.concertgebouw.nl/concerten/9127710-sopraan-kristen-witmer-zingt-wonderschone-bach-en-monteclair,"v.a. EUR 35,00"
Concertgebouw,Beach Boys’ Best,Concert,"ma 1 jun 2026, 20:15 - 22:35",Grote Zaal,,https://www.concertgebouw.nl/concerten/31582165-beach-boys-best,"v.a. EUR 59,00"
Concertgebouw,"Chanson: groots eerbetoon aan Jacques Brel, Charles Aznavour & Édith Piaf",Concert,"di 2 jun 2026, 20:15 - 22:35",Grote Zaal,,https://www.concertgebouw.nl/concerten/24275272-chanson-groots-eerbetoon-aan-jacques-brel-charles-aznavour-edith-piaf,"v.a. EUR 69,00 [Laatste kaarten]"
Concertgebouw,Stéphane Degout & Simon Lepper: Franse meesters,Concert,"di 2 jun 2026, 20:15 - 22:35",Kleine Zaal,"Ravel Don Quichotte à Dulcinée Ravel Deux épigrammes de Clément Marot, M. 21",https://www.concertgebouw.nl/concerten/8505075-stephane-degout-simon-lepper-franse-meesters,"v.a. EUR 35,00"
Concertgebouw,Gratis Lunchconcert: Dutch International Flute Competition,Gratis Lunchconcert,"wo 3 jun 2026, 12:30 - 13:00",Kleine Zaal,,https://www.concertgebouw.nl/concerten/36977914-gratis-lunchconcert-dutch-international-flute-competition,Gratis
Concertgebouw,"Chanson: groots eerbetoon aan Jacques Brel, Charles Aznavour & Édith Piaf",Concert,"wo 3 jun 2026, 20:15 - 22:35",Grote Zaal,,https://www.concertgebouw.nl/concerten/24275273-chanson-groots-eerbetoon-aan-jacques-brel-charles-aznavour-edith-piaf,"v.a. EUR 69,00 [Laatste kaarten]"
Concertgebouw,Muzikale vriendschappen,Concert,"vr 5 jun 2026, 20:15 - 22:15",Grote Zaal,"Richter The Four Seasons of Vivaldi recomposed Elgar Enigma-variaties, op. 36 (arr. G. Morton)",https://www.concertgebouw.nl/concerten/43786494-muzikale-vriendschappen,"v.a. EUR 39,00"
Concertgebouw,Classical Highlights: Strijkkwartetklassiekers door het Karski Quartet,Concert,"vr 5 jun 2026, 20:30 - 21:45",Kleine Zaal,Debussy Animé et très décidé Ravel Assez vif - Très rythmé,https://www.concertgebouw.nl/concerten/8507469-classical-highlights-strijkkwartetklassiekers-door-het-karski-quartet,"v.a. EUR 17,00"
Concertgebouw,Akhnaten van Philip Glass,Concert,"za 6 jun 2026, 12:30 - 16:10",Grote Zaal,,https://www.concertgebouw.nl/concerten/8925673-akhnaten-van-philip-glass,"v.a. EUR 71,00 [UITVERKOCHT]"
Concertgebouw,Griegs Pianoconcert door Saleem Ashkar en Philzuid,Luisteren,"za 6 jun 2026, 20:15 - 22:35",Grote Zaal,"Sibelius Symfonie nr. 2 in D, op. 43 Grieg Pianoconcert in a, op. 16",https://www.concertgebouw.nl/concerten/8110228-griegs-pianoconcert-door-saleem-ashkar-en-philzuid,"v.a. EUR 19,00"
Concertgebouw,Meesters op de Gitaar: Ana Vidovic,Concert,"za 6 jun 2026, 20:15 - 22:35",Kleine Zaal,Barrios Mangoré La Catedral Torroba Suite Castellana,https://www.concertgebouw.nl/concerten/8508215-meesters-op-de-gitaar-ana-vidovic,"v.a. EUR 29,00 [UITVERKOCHT]"
Concertgebouw,Grote Pianisten: Grigory Sokolov,Concert,"zo 7 jun 2026, 20:15 - 22:30",Grote Zaal,"Schubert Sonate in Bes, D 960 Beethoven Sechs Bagatellen, op. 126",https://www.concertgebouw.nl/concerten/7604263-grote-pianisten-grigory-sokolov,"v.a. EUR 29,00"
Concertgebouw,Popup Choir Queen: zing mee met Maarten Bos en Tijmen de Koning,Concert,"ma 8 jun 2026, 20:15 - 22:35",Grote Zaal,,https://www.concertgebouw.nl/concerten/14508113-popup-choir-queen-zing-mee-met-maarten-bos-en-tijmen-de-koning,"v.a. EUR 25,00"
Concertgebouw,Close-up Concertgebouworkest: USA 250,Concert,"di 9 jun 2026, 20:15 - 22:35",Kleine Zaal,Gershwin An American in Paris (arr. W. van Klaveren) Copland Sextet,https://www.concertgebouw.nl/concerten/8506298-close-up-concertgebouworkest-usa-250,"v.a. EUR 38,00"
Concertgebouw,Roxeanne Hazes & ZO! Gospel Choir,Concert,"wo 10 jun 2026, 20:15 - 21:45",Grote Zaal,,https://www.concertgebouw.nl/concerten/37544406-roxeanne-hazes-zo-gospel-choir,"v.a. EUR 29,00 [UITVERKOCHT]"
Concertgebouw,Julian Rachlin & Friends: Bachs Goldberg-variaties,Concert,"wo 10 jun 2026, 20:15 - 22:35",Kleine Zaal,,https://www.concertgebouw.nl/concerten/8508216-julian-rachlin-friends-bachs-goldberg-variaties,"v.a. EUR 29,00"
Concertgebouw,Gratis Lunchconcert: Openbare repetitie Concertgebouworkest,Gratis Lunchconcert,"do 11 jun 2026, 12:30 - 13:00",Grote Zaal,"Beethoven Symfonie nr. 8 in F, op. 93 Barber Vioolconcert, op. 14",https://www.concertgebouw.nl/concerten/36977915-gratis-lunchconcert-openbare-repetitie-concertgebouworkest,Gratis
Concertgebouw,Fabio Luisi dirigeert Beethoven bij het Concertgebouworkest,Luisteren,"do 11 jun 2026, 20:15 - 22:00",Grote Zaal,"Beethoven Symfonie nr. 8 in F, op. 93 Barber Vioolconcert, op. 14",https://www.concertgebouw.nl/concerten/11156975-fabio-luisi-dirigeert-beethoven-bij-het-concertgebouworkest,"v.a. EUR 20,00"
